Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,min_salary,max_salary,avg_salary,min_experience,max_experience
 Document Specialist,"1,00,000-1,25,000pa.",0 - 1 yrs, Word Excel Powerpoint MS Office Suite Fresher,Other,Chennai,ITES ,BPO,Fresher,10.0,12.5,11,0,1
 Data Entry Operator - Belapur (female),"1,00,000-1,25,000pa.",0 - 1 yrs, MS Office Package Internet Surfing Data Entry Operation,nan,Navi Mumbai,Executive Assistant ,Shipping,Stenographer/Data Entry Operator,10.0,12.5,11,0,1
 Walk-in Interviews | Game Testing - Freshers,"1,00,000-1,25,000pa.",0 - 1 yrs, gaming Game Testing game tester video games,Programming & Design,Pune,IT Software ,IT,Testing Engineer,10.0,12.5,11,0,1
 Web Designer,"1,00,000-1,25,000pa.",1 - 2 yrs, CSS Web Technologies Wordpress MySQL PHP Dreamweaver HTML Photoshop Web Designing Joomla,Creative,Delhi NCR,Design ,Media,Web Designer,10.0,12.5,11,1,2
 Web Designer / UI Designer / Graphic Designer,"1,00,000-1,25,000pa.",0 - 1 yrs, CSS Mobile Applications Illustrator Web Technologies Bootstrap User Interface Designing HTML Visual Studio Photoshop Web Designing Graphic Designing,Creative,Bhilai/Bhillai,Design ,IT,Web Designer,10.0,12.5,11,0,1
 Opening For Content Writer at Lower Parel (freshers Can Apply),"1,00,000-1,25,000pa.",0 - 2 yrs, secondary research email process content writing Content Writer Email Writing E - commerce Chat Process,Other,Mumbai,Executive Assistant ,Fresher,Fresher,10.0,12.5,11,0,2
 Fresher,"1,00,000-1,25,000pa.",0 - 1 yrs, Calling voice inbound outbound Tele Caller Calls,Other,Ghaziabad,ITES ,KPO,Fresher,10.0,12.5,11,0,1
 Mother Teacher,"1,00,000-1,25,000pa.",0 - 5 yrs, fluent smart dedicated,Teachers,Greater Noida,Teaching ,Education,Junior/Primary/Assistant Teacher,10.0,12.5,11,0,5
 Project Assistant,"1,00,000-1,25,000pa.",0 - 2 yrs, Data Processing Data Validation Data Management data analysis,nan,Hyderabad ,Other,IT,Other,10.0,12.5,11,0,2
 Urgent Collection Executive,"1,00,000-1,25,000pa.",1 - 4 yrs, Sales FMCG,Retail Sales,Kolkata,Sales ,FMCG,Sales Executive/Officer,10.0,12.5,11,1,4
 REQ For Stock Incharge - Filed JOB- HSC Passed (SAL - 10K To 11K,"1,00,000-1,25,000pa.",0 - 1 yrs, Field Work Field Support Stock Inventory Stock Audit Auditing,Other,Mumbai,Hotels ,Travel ,Fresher,10.0,12.5,11,0,1
 Hiring In Bank Back Office Data Entry,"1,00,000-1,25,000pa.",0 - 1 yrs, data entry operation bpo computer operator back office back office operations office assistant back office executive typing data entry banking,Other,Pune,ITES ,BPO,Fresher,10.0,12.5,11,0,1
 Human Resources Executive (hospitality Experience Only) Takshashila Ho,"1,00,000-1,25,000pa.",1 - 3 yrs, Training Workers Compensation Employee Communication Selection Process Employee Relations HR Performance Management Orientation Employee Development Recruitment,Senior Management,Pune,Hotels ,Travel ,Executive/Master Chef,10.0,12.5,11,1,3
 Hiring for Hindi / Telugu / Malayalam /kannada Voice Support - Chennai,"1,00,000-1,50,000pa.",0 - 4 yrs, Telesales Voice Process,Voice,Chennai,ITES ,BPO,Telecalling/Telemarketing Executive,10.0,15.0,12,0,4
 Retail Store Assistant [woman Only,"1,00,000-1,50,000pa.",2 - 7 yrs, Store Keeping,nan,Delhi NCR,Other,Retail,Other,10.0,15.0,12,2,7
 Dispatch Supervisor,"1,00,000-1,50,000pa.",1 - 2 yrs, dispatch warehouse inventory,nan,Mumbai Suburbs,Other,Other,Other,10.0,15.0,12,1,2
 BPO Customer Care Executive for Inbound Domestic Call Center Ghaziabad,"1,00,000-1,50,000pa.",0 - 0 yrs, inbound process bpo customer care Customer Support Executive Customer Care Executive Call Center Cce CSE Calling Voice Domestic BPO bpo fresher,Voice,Delhi NCR,ITES ,BPO,Associate/Senior Associate -(NonTechnical),10.0,15.0,12,0,0
 Network Engineer,"1,00,000-1,50,000pa.",1 - 3 yrs, Networking LAN WAN DNS Network Engineering Remote Desktop Server OS Windows OS Configuration,Admin,Kolkata,IT Software ,IT,IT/Networking-Manager,10.0,15.0,12,1,3
" Production Chemist, Sikandrabad (u.p)","1,00,000-1,50,000pa.",0 - 1 yrs, production paint chemist,Other,Delhi NCR,Production ,Chemicals,Fresher,10.0,15.0,12,0,1
 Requirement for Account Executive,"1,00,000-1,50,000pa.",1 - 2 yrs, accounts executive accountant,Accounts,Kolkata,Accounts ,Construction,Accounts Executive/Accountant,10.0,15.0,12,1,2
 Mega Openings for Freshers &quot; Non-voice BPO Process&quot; Kukatpally HYD,"1,00,000-1,50,000pa.",0 - 1 yrs, customer service executive customer relation Customer Support cse Non Voice Process customer support executive Semi Voice customer care Night Shift Bpo Non Voice client relation,Other,Hyderabad,ITES ,BPO,Fresher,10.0,15.0,12,0,1
 Urgent Opening For Field Recruiter ,"1,00,000-1,50,000pa.",1 - 6 yrs, hiring HRIS procurement HR sourcing Recruitment staffing,HR,Delhi NCR,HR ,Recruitment,Recruitment Executive,10.0,15.0,12,1,6
 Accounts Executive(male Candidate Only),"1,00,000-1,50,000pa.",1 - 5 yrs, accounting tds cash book journal entries tally erp receipt gst banking,Accounts,Mumbai ,Accounts ,Accounting,Accounts Executive/Accountant,10.0,15.0,12,1,5
 Urgent Opening for Cashier,"1,00,000-1,50,000pa.",0 - 1 yrs, Cashier Activities cash handling Cashier,Front Office,Pune,Hotels ,Travel ,Cashier,10.0,15.0,12,0,1
 Non-voice (backoffice Operations),"1,00,000-1,50,000pa.",0 - 0 yrs, Non Voice Process Back Office Operations,nan,Mumbai,Other,IT,Other,10.0,15.0,12,0,0
 Documentation Executive,"1,00,000-1,50,000pa.",0 - 1 yrs, Documentation Hindi,nan,Chennai,Other,Recruitment,Other,10.0,15.0,12,0,1
 Job Opening for &quot;IT Recruiter&quot,"1,00,000-1,50,000pa.",0 - 1 yrs, talent acquisition IT Recruitment technical recruitment technical recruiter recruitment recruiter it recruiter,HR,Pune,HR ,Recruitment,Recruitment Executive,10.0,15.0,12,0,1
 Care Taker,"1,00,000-1,50,000pa.",3 - 5 yrs, housekeeping,Housekeeping,Delhi NCR,Hotels ,Facility Management,Housekeeping Executive/Assistant.,10.0,15.0,12,3,5
 MBA Marketing,"1,00,000-1,50,000pa.",0 - 1 yrs,empty,Marketing,Delhi,Marketing ,Recruitment,Corporate Communication Executive,10.0,15.0,12,0,1
 Customer Care Executive,"1,00,000-1,50,000pa.",0 - 1 yrs, telecaller outbound telesales Calling tele marketing executive,Voice,Gurgaon,ITES ,Travel ,Telecalling/Telemarketing Executive,10.0,15.0,12,0,1
 Account Assistant - Female- Manufacturing Industry- Rakhial- Ahmedabad,"1,00,000-1,50,000pa.",0 - 2 yrs, accountant accounting tally erp 9 bcom tally erp mcom manufacturing prime account assistant industrial accounts tally,Accounts,Ahmedabad,Accounts ,Industrial Products,Accounts Executive/Accountant,10.0,15.0,12,0,2
 Tele Caller,"1,00,000-1,50,000pa.",0 - 2 yrs, customer service executive education counselor customer service sales customer support marketing counselor telesales tele marketing executive academic counselor telemarketing counsellor receptionist,Teachers,Delhi NCR,Teaching ,Education,Counselor,10.0,15.0,12,0,2
 Walk-in For Jr. Associate (fresher Male),"1,00,000-1,50,000pa.",0 - 1 yrs, sap sales order processing accounting tally,Accounts,Delhi NCR,Accounts ,Accounting,Accounts Executive/Accountant,10.0,15.0,12,0,1
" Receptionist, Front Office Executive, Telecaller","1,00,000-1,50,000pa.",0 - 2 yrs, Receptionist front office executive Front Office Receptionist Activities front desk executive Telecalling telemarketing,Voice,Hyderabad,ITES ,BPO,Telecalling/Telemarketing Executive,10.0,15.0,12,0,2
 Hiring!! MIS Executive @ Chennai - Concentrix (intern),"1,00,000-1,50,000pa.",0 - 1 yrs, MIS Operations,nan,Chennai,Other,BPO,Other,10.0,15.0,12,0,1
 ITI any Trade,"1,00,000-1,50,000pa.",0 - 3 yrs, electrician electrical technician fitter iti,Other,Bengaluru,Production ,Industrial Products,Fresher,10.0,15.0,12,0,3
 Chief Financial Officer,"1,00,000-1,50,000pa.",8 - 10 yrs, accounting fiemptyce auditing taxation tax audit strategic planning fiemptycial reporting company accounts,Senior Management,Kolkata ,Accounts ,Other,Head/VP/GM-CFO/Financial Controller,10.0,15.0,12,8,10
 Urgently Required Graphic Designer - Adobe Photoshop or Coral Draw,"1,00,000-1,75,000pa.",1 - 5 yrs, Senior Graphic Designer graphic designing design adobe photoshop corel draw Graphic Designer,nan,Kolkata,Other,Education,Other,10.0,17.5,13,1,5
" Urgent Vacancy Service Coordinator Hyderabad, Pune,bnagalore","1,00,000-1,75,000pa.",0 - 5 yrs, Customer Service Client Servicing client relationship manager customer care Domestic BPO client relationship call center customer support customer care executive,Senior Management,Bengaluru,ITES ,BPO,Service Delivery Leader,10.0,17.5,13,0,5
 International BPO / Fresher / Voice Process / Rotational Shift /Ahm,"1,00,000-1,75,000pa.",0 - 2 yrs, voice process bpo backoffice call center international call center international bpo calling outbound outbound sales night shift Fresher Cbse ILTS,Other,Ahmedabad,ITES ,KPO,Fresher,10.0,17.5,13,0,2
 Core Java Developer,"1,00,000-1,75,000pa.",4 - 8 yrs, Core Java jdk Multithreading Design Patterns OOPS,Programming & Design,Gurgaon,IT Software ,IT,Software Developer,10.0,17.5,13,4,8
 Floor Executive,"1,00,000-1,75,000pa.",0 - 2 yrs, floor planning Presentable Communication Floor Management,Other,Pune,Executive Assistant ,Facility Management,Fresher,10.0,17.5,13,0,2
 Non Voice Process - Experience ,"1,00,000-1,75,000pa.",1 - 4 yrs, BPO Email Support Non Voice Process live chat Back Office Operations back office executive Night Shift Non Voice chat support helpdesk Chat Process,Voice,Chennai,ITES ,BPO,Associate/Senior Associate -(NonTechnical),10.0,17.5,13,1,4
 Be Instrumentation Trainee,"1,00,000-1,75,000pa.",0 - 1 yrs, Instrumentation instrumentation engineer,Other,Pune ,Production ,Automobile,Trainee,10.0,17.5,13,0,1
 Junior Accounts Assistant,"1,00,000-1,75,000pa.",1 - 3 yrs, Accounting Petty Cash Fiemptyce Reconciliation Payments Fact Spreadsheets Purchase Report Preparation Tally ERP Internal Audit Data Entry,nan,Ahmedabad ,Executive Assistant ,Textiles,Stenographer/Data Entry Operator,10.0,17.5,13,1,3
 Mega Drive for Day Shift ( Maruti Process ),"1,00,000-1,75,000pa.",0 - 3 yrs, Customer Care,Voice,Kolkata ,ITES ,BPO,Telecalling/Telemarketing Executive,10.0,17.5,13,0,3
 Direct Walk - In for Command Center Monitoring Executive - Navi Mumbai,"1,00,000-1,75,000pa.",1 - 5 yrs, Command Center Monitoring ATM,Voice,Navi Mumbai,ITES ,IT,Associate/Senior Associate -(Technical),10.0,17.5,13,1,5
 Urgent Hiring || Bussiness Development Associate || Noida,"1,00,000-1,75,000pa.",0 - 3 yrs, business development sales international bpo Business Development Executive sales business development,System Design,Noida ,IT Software ,IT,Business Analyst,10.0,17.5,13,0,3
 Inside Sales Executive,"1,00,000-1,75,000pa.",0 - 1 yrs, cold calling lead generation Inside Sales outbound calling Sales Executive Activities,Pre Sales,Noida,Sales ,IT,Pre Sales Consultant,10.0,17.5,13,0,1
 Hiring for Voice Process - Kalyan Nagar,"1,00,000-1,75,000pa.",1 - 2 yrs, voice process call center,Voice,Bengaluru,ITES ,BPO,Telecalling/Telemarketing Executive,10.0,17.5,13,1,2
 Physiotherapist-part time | M.v.hospital For Diabetes Pvt Ltd- Adyar,"1,00,000-1,75,000pa.",2 - 7 yrs, Bpt,Medical Professional,Chennai,Medical ,Medical,Physiotherapist,10.0,17.5,13,2,7
 International Voice &amp; Non-voice Process / Freshers / Day-shift,"1,00,000-1,75,000pa.",0 - 2 yrs, CSR International Call Center inbound customer service Travel Customer Support voice process CSE Holiday voice support International BPO,Voice,Ahmedabad,ITES ,BPO,Associate/Senior Associate -(NonTechnical),10.0,17.5,13,0,2
 Walk in Interviews For Diploma in E&t/c Freshers,"1,00,000-1,75,000pa.",0 - 0 yrs, Electronics Telecommunication,Technical Support,Pune,IT Hardware ,Telcom,Customer Support Engineer/Technician,10.0,17.5,13,0,0
" Opening For Helper, Driver, Office Boy, Washing boy in 3 Wheeler Auto","1,00,000-1,75,000pa.",0 - 1 yrs, Washing,nan,Ahmedabad,Other,Automobile,Other,10.0,17.5,13,0,1
 International BPO / Fresher / Voice Process / Day Shift / Ahmedabad,"1,00,000-1,75,000pa.",0 - 2 yrs, International Call Center International BPO voice process voice support inbound customer service CSR CSE Customer Support Travel Holiday,Voice,Ahmedabad,ITES ,BPO,Associate/Senior Associate -(NonTechnical),10.0,17.5,13,0,2
 Back end Operations- HOS,"1,00,000-1,75,000pa.",0 - 0 yrs, Backend Non Voice Process Back Office back office executive Backend Operations,Voice,Chennai,ITES ,BPO,Associate/Senior Associate -(NonTechnical),10.0,17.5,13,0,0
 Computer Teacher,"1,00,000-1,75,000pa.",1 - 3 yrs, Excel Macros VBA MIS Reporting MS Office Computer Teaching Typing Speed,Other,Delhi NCR,IT Software ,IT,Trainer/Faculty,10.0,17.5,13,1,3
 Sales Officer for Freshers,"1,00,000-1,75,000pa.",0 - 1 yrs, Banking Products Sales marketing selling direct selling bank Sales Officer marketing officer marketing manager freshers,Retail Sales,Ahmedabad,Sales ,Fresher,Sales Executive/Officer,10.0,17.5,13,0,1
 Accounts / Back Office Executive (female),"1,00,000-1,75,000pa.",0 - 5 yrs, Account Executive Accounts Manager Account Assistant CA Accounts,Accounts,Ahmedabad,Accounts ,FMCG,Accounts Executive/Accountant,10.0,17.5,13,0,5
 Walk in Interview - Account Payable (On Contract Role),"1,00,000-1,75,000pa.",1 - 6 yrs, Communication Skills bills payable Advanced Excel,Other,Mumbai,Purchase ,Courier,Trainee,10.0,17.5,13,1,6
" MIS Executive,","1,00,000-1,75,000pa.",0 - 3 yrs, Excel power point ms excel ms word ms powerpoint VLOOKUP Content Filtering SUMIF countif,Admin,Greater Noida,IT Software ,Consumer Electronics,Management Information Systems(MIS)-Manager,10.0,17.5,13,0,3
 Delivery Assistant - Bangalore,"1,00,000-1,75,000pa.",1 - 5 yrs, Administration Work Medical Devices Delivery Field Work field executive,Other,Bengaluru,Supply Chain ,Medical,Trainee,10.0,17.5,13,1,5
 Walk In For Field Sales Executive For Non Banking,"1,00,000-1,75,000pa.",0 - 2 yrs, Field Sales Sales Executive Activities,Retail Sales,Chennai,Sales ,Other,Sales Executive/Officer,10.0,17.5,13,0,2
 HR Recruiter/recruitment Executive,"1,00,000-1,75,000pa.",0 - 2 yrs, hiring recruitment calling hr sourcing staffing,HR,Bengaluru,HR ,Recruitment,Recruitment Executive,10.0,17.5,13,0,2
 Urgent Opening For Assistant Manager Digital Sales with top Bank,"1,00,000-2,00,000pa.",0 - 1 yrs, fresher Digital Sales direct sales,Retail Sales,Chennai,Sales ,Banking,Sales Executive/Officer,10.0,20.0,15,0,1
 Need MIS Executive Under Team Lease Payroll,"1,00,000-2,00,000pa.",1 - 3 yrs, VBA VLOOKUP Formulas Advanced Excel Excel Sheet HLOOKUP MIS Reporting,Other,Pune,Executive Assistant ,Banking,Trainee,10.0,20.0,15,1,3
" Telecaller 0-1yr Exp ,pune","1,00,000-2,00,000pa.",0 - 1 yrs, voice process call center fresher English speaking Tele Caller tele marketing tele sales tele sales executive,Voice,Pune,ITES ,IT,Telecalling/Telemarketing Executive,10.0,20.0,15,0,1
 Program Manager,"1,00,000-2,00,000pa.",15 - 20 yrs,empty,Voice,Delhi,ITES ,Medical,Associate/Senior Associate -(Technical),10.0,20.0,15,15,20
 Executive- Hr(recruitment) for HR Consulting Dealing in Manufacturing,"1,00,000-2,00,000pa.",0 - 2 yrs, recruitment screening sourcing hr consulting linkedin communication skills,HR,Faridabad ,HR ,Automobile,Recruitment Executive,10.0,20.0,15,0,2
 Walk-in Drive for HR Executive Profile @ IPS Group ,"1,00,000-2,00,000pa.",1 - 3 yrs, Human resources Recruitment HR Recruiter Recruitment executive hiring Talent Acquisition staffing,HR,Mumbai,HR ,Recruitment,HR Executive,10.0,20.0,15,1,3
 Process Executive - Voice Process,"1,00,000-2,00,000pa.",0 - 0 yrs, Voice Process Night Shift,Other,Bengaluru,ITES ,BPO,Trainee,10.0,20.0,15,0,0
 Data Entry Operator / Mumbai / SDP & Associates,"1,00,000-2,00,000pa.",0 - 4 yrs, data entry operation clerical Back Office Data Entry computer operator Database Operations Fresher Data Entry Operator typing stenographer,nan,Mumbai ,Executive Assistant ,Accounting,Stenographer/Data Entry Operator,10.0,20.0,15,0,4
" Business Support Executive- Jaipur, Chandigarh and Coimbatore","1,00,000-2,00,000pa.",1 - 5 yrs, Business Development Sales Bde B2B Region Retail Dealing Revenue Collection Follow Ups Email Writing,Corporate Sales,Chandigarh,Sales ,BPO,Sales Executive/Officer,10.0,20.0,15,1,5
" BPO Executive, Call Center Executive, Customer Care Executive","1,00,000-2,00,000pa.",0 - 3 yrs, BPO Email Support chat process cce customer care call center Inbound chat support customer relation Customer Support voice process outbound Technical Support telesales international call center customer care executive,Voice,Delhi NCR,ITES ,BPO,Associate/Senior Associate -(NonTechnical),10.0,20.0,15,0,3
 Hiring Help Desk Executive For Mumbai Location,"1,00,000-2,00,000pa.",1 - 5 yrs, Helpdesk,nan,Mumbai,Executive Assistant ,Facility Management,Receptionist,10.0,20.0,15,1,5
 PCB Repair Technician For Telecommunication,"1,00,000-2,00,000pa.",1 - 3 yrs,empty,Technical Support,Chennai,IT Hardware ,Electricals,Technical Support Manager,10.0,20.0,15,1,3
 Marketing Executive,"1,00,000-2,00,000pa.",0 - 1 yrs, Business Development Sales Marketing Cold Calling Presentation Business Development Executive sales executive sales marketing corporate sales,Retail Sales,Delhi NCR,Sales ,Travel ,Sales Executive/Officer,10.0,20.0,15,0,1
 Day Shift/5.5 days Working- HR Recruiter,"1,00,000-2,00,000pa.",0 - 5 yrs, IT Recruiter talent acquisition Non IT Recruiter screening recruitment recruitment executive hr mba hr mba human resource sourcing,HR,Delhi,HR ,Recruitment,HR Executive,10.0,20.0,15,0,5
 BPO Voice Process /nungambakkam 13-15k Salary,"1,00,000-2,00,000pa.",0 - 2 yrs, voice call centre inbound process Bpo Voice Calling Voice Process Night Shift,Voice,Chennai,ITES ,BPO,Associate/Senior Associate -(NonTechnical),10.0,20.0,15,0,2
 Dietician,"1,00,000-2,00,000pa.",1 - 2 yrs, Nutrition,Medical Professional,Navi Mumbai,Medical ,Medical,Dietician/Nutritionist,10.0,20.0,15,1,2
 Steward / Captain,"1,00,000-2,00,000pa.",1 - 2 yrs, Captain Steward,Food & Beverage,Chennai,Hotels ,Travel ,Steward,10.0,20.0,15,1,2
 HR Recruiter,"1,00,000-2,00,000pa.",0 - 1 yrs, Salary International Clients Sourcing HR Recruitment,HR,Delhi NCR,HR ,Recruitment,Recruitment Executive,10.0,20.0,15,0,1
 Walkin Drive Freshers!! Spot Offer!! One Round Interview!! Meet-betsy,"1,00,000-2,00,000pa.",0 - 2 yrs, voice process customer support customer service Fresher undergraduate,Voice,Mumbai,ITES ,BPO,Associate/Senior Associate -(NonTechnical),10.0,20.0,15,0,2
 Excel Specialist Macros with VB,"1,00,000-2,00,000pa.",1 - 2 yrs, Excel VBA Macros Data Research,Programming & Design,Mumbai ,IT Software ,IT,Database Architect/Designer,10.0,20.0,15,1,2
 Front Desk Executive,"1,00,000-2,00,000pa.",0 - 2 yrs, front office executive Front Desk receptionist front desk executive,nan,Ahmedabad,Executive Assistant ,Education,Receptionist,10.0,20.0,15,0,2
 Opening For Junior Executive Assistant,"1,00,000-2,00,000pa.",0 - 1 yrs, Executive Assistant,nan,Mumbai,Executive Assistant ,Export,Secretary/PA,10.0,20.0,15,0,1
 Biomedical Engineer,"1,00,000-2,00,000pa.",0 - 1 yrs, Biomedical Engineer,Medical Professional,Pune,Medical ,Medical,Administration Services/Medical Facilities,10.0,20.0,15,0,1
 Online Sales Order Processing,"1,00,000-2,00,000pa.",1 - 5 yrs, amazon Order Processing,Retail Sales,Ahmedabad,Sales ,FMCG,Sales Executive/Officer,10.0,20.0,15,1,5
 Administration Executive Male Candidates only,"1,00,000-2,00,000pa.",1 - 2 yrs, Housekeeping Administration fleet bus transport trucks cafeteria facility Facilities,Administration,Pune,HR ,BPO,Executive/ Sr Executive - Administration,10.0,20.0,15,1,2
 Accounts Executive,"1,00,000-2,00,000pa.",1 - 3 yrs, accountant invoice processing Accounts Executive accounts manager Client Management invoicing Payment Followup Account Management accounts officer billing executive,Accounts,Noida,Accounts ,IT,Accounts Manager,10.0,20.0,15,1,3
" Customer Support Engineer,","1,00,000-2,00,000pa.",16 - 25 yrs, CT Scan MRI Preventive Mainteemptyce Sales Support Customer Support customer service,nan,Delhi NCR,Other,Medical,Other,10.0,20.0,15,16,25
 Walk-in for .NET and SQL Server Professionals,"1,00,000-2,00,000pa.",0 - 2 yrs, software development software programming sql server aspnet cnet Angularjs Net Bootstrap OOPS ajax javascript jQuery LINQ WCF WWF Stored Procedures,Programming & Design,Hyderabad,IT Software ,IT,Software Developer,10.0,20.0,15,0,2
 Job Opening For Accountant For Financial Industry,"1,00,000-2,00,000pa.",1 - 5 yrs, Tally Petty Cash Management Income Tax Accounting Bank Reconciliation Statement Vouchers Fiemptyce PF Taxation TDS Return,Accounts,Kolkata,Accounts ,Accounting,Accounts Executive/Accountant,10.0,20.0,15,1,5
 Sales Executive For Media Company - Kolkata,"1,00,000-2,00,000pa.",0 - 5 yrs, sales executive activities sales officer,Retail Sales,Kolkata,Sales ,Advertising,Sales Executive/Officer,10.0,20.0,15,0,5
 Urgent Hiring For Catalog Associate- Delhi Location ,"1,00,000-2,00,000pa.",0 - 1 yrs,empty,nan,Delhi NCR,Other,Other,Other,10.0,20.0,15,0,1
 Customer Service Executive,"1,00,000-2,00,000pa.",0 - 3 yrs, Customer Service,Voice,Chennai,ITES ,BPO,Telecalling/Telemarketing Executive,10.0,20.0,15,0,3
 Relationship Executive (field Marketing),"1,00,000-2,00,000pa.",1 - 3 yrs, Field Marketing Sales Conferences,Public Relations,Chandigarh,Marketing ,Strategy,Public Relations Executive,10.0,20.0,15,1,3
 Good Oppotunity for HR Recruiter- Internship/ Full Time- North Delhi,"1,00,000-2,00,000pa.",0 - 2 yrs,empty,HR,Delhi,HR ,Recruitment,Recruitment Executive,10.0,20.0,15,0,2
 Urgent Hiring For lab Technician-dmlt/cmlt. Fresher Welcome.,"1,00,000-2,00,000pa.",0 - 5 yrs, MLT Phlebotomy dmlt,Medical Professional,Mumbai,Medical ,Insurance,Lab Technician/Medical Technician/Lab Staff,10.0,20.0,15,0,5
 Recruitment Executive - Goregaon East,"1,00,000-2,00,000pa.",0 - 2 yrs, Shortlisting Hiring Interviewing Recruitment HR Follow Ups Database Management MS Office power point,HR,Mumbai ,HR ,Recruitment,Recruitment Executive,10.0,20.0,15,0,2
 BPO - Semi Voice (90% Non Voice) Process - Email & Chat,"1,00,000-2,00,000pa.",0 - 3 yrs, inbound kannada call center Bpo Non Voice tamil service desk malayalam outbound Chat bpo bba domestic bpo btech Non Voice Process freshers Semi Voice ites kpo helpdesk bcom ba,Voice,Chennai,ITES ,BPO,Associate/Senior Associate -(NonTechnical),10.0,20.0,15,0,3
 HR Recruiter ,"1,00,000-2,00,000pa.",1 - 6 yrs, HR HRIS Recruitment,HR,Mumbai,HR ,Recruitment,Recruitment Executive,10.0,20.0,15,1,6
 Paramix Operator,"1,00,000-2,00,000pa.",2 - 5 yrs, iti Quality Control quality assurance,Production,Pune,Production ,FMCG,Workman/Foreman/Technician,10.0,20.0,15,2,5
 HR Retainer,"1,00,000-2,00,000pa.",0 - 2 yrs, Interview Coordination Screening Administration Staffing Hiring HR Benefits Interviewing,Other,Gurgaon,Teaching ,Internet,Other,10.0,20.0,15,0,2
 Service Engineer - Kolkata - Off Roll,"1,00,000-2,00,000pa.",0 - 1 yrs, Service Engineer Installation,Production,Kolkata,Production ,Other,Service/Maintenance Engineer,10.0,20.0,15,0,1
 Process Executive,"1,00,000-2,00,000pa.",0 - 0 yrs, Communication Skills Fresher voice process international voice process,Voice,Hyderabad,ITES ,BPO,Associate/Senior Associate -(Technical),10.0,20.0,15,0,0
 Pharmacist/hospital Pharmacist,"1,00,000-2,00,000pa.",1 - 3 yrs, Inventory Control Pharmacy External Audit Dispensing Auditing,R&D,Delhi NCR,Medical ,Media,Pharmacist/Chemist/Bio Chemist,10.0,20.0,15,1,3
" Graphic Designer, Creative Graphic Designer","1,00,000-2,00,000pa.",0 - 1 yrs, Graphics Creative Designing Banners Social Media Digital Marketing Social Media Marketing Graphic Designing graphic designer Advertising,nan,Noida,Other,Other,Other,10.0,20.0,15,0,1
 HR Executive,"1,00,000-2,00,000pa.",0 - 2 yrs, non it recruitment recruitment Recruitment Executive Job Posting Consultancy,HR,Noida ,HR ,Recruitment,HR Executive,10.0,20.0,15,0,2
" BDM, Counselor Telecaller / Front desk Coordinator","1,00,000-2,00,000pa.",0 - 5 yrs, Team Management Administration marketing Front Desk Coordination relationship management Telecalling team handling Admissions business development Counselling,Teachers,Chennai,Teaching ,Education,Counselor,10.0,20.0,15,0,5
 Mega Job Opening at Banking Sales - Pimpri Chinchwad,"1,00,000-2,00,000pa.",0 - 5 yrs, mortgages business loan personal loans Car Loan dealer sales banking products fiemptycial services new product sales executive activities banking sales team leading lap home loans housing fiemptyce new client acquisition,Retail Sales,Pune,Sales ,Banking,Sales Executive/Officer,10.0,20.0,15,0,5
 Sales Officer - CASA,"1,00,000-2,00,000pa.",0 - 1 yrs, Casa Sales Liabilities Banking Products,Retail Sales,Kolkata,Sales ,Banking,Sales Executive/Officer,10.0,20.0,15,0,1
 Work from Home Recruiter Part time (incentive Based),"1,00,000-2,00,000pa.",0 - 4 yrs, bpo customer service,HR,Delhi NCR,HR ,BPO,Recruitment Executive,10.0,20.0,15,0,4
 Technical Support Executive - Broadband,"1,00,000-2,00,000pa.",0 - 5 yrs, Technical Support,Voice,Kolkata,ITES ,BPO,Associate/Senior Associate -(Technical),10.0,20.0,15,0,5
 MIS Executive / Data Analyst,"1,00,000-2,00,000pa.",1 - 3 yrs, web technologies data entry CRM Data Analysis data mining,Other,Mumbai ,Analytics & Business Intelligence,IT,Other,10.0,20.0,15,1,3
 Fitter/ Machine Operator,"1,00,000-2,00,000pa.",2 - 5 yrs, repair Fitter machine operating mainteemptyce iti,Production,Pune,Production ,FMCG,Workman/Foreman/Technician,10.0,20.0,15,2,5
 Computer Hardware & Networking Engineer,"1,00,000-2,00,000pa.",0 - 3 yrs, Communication Skills Hardware Networking technical support engineer time management Field Engineer,Admin,Pune,IT Software ,IT,Technical Support Engineer,10.0,20.0,15,0,3
" Collection Executive - Kolkata, Howrah & Burdwan area","1,00,000-2,00,000pa.",0 - 5 yrs, debt collection collections debt recovery cross selling Recovery Officer cash collection cash payment,Retail,Kolkata,Financial Services ,Banking,Collections Officer,10.0,20.0,15,0,5
 Opening for at JB Nagar - Vara Infotech Private Limited,"1,00,000-2,00,000pa.",0 - 1 yrs, Back Office Processing MCOM Bcom Advanced Excel,Back Office,Mumbai,ITES ,IT,Associate/Senior Associate -(NonTechnical),10.0,20.0,15,0,1
 Front Desk Executive,"1,00,000-2,00,000pa.",1 - 5 yrs, Front Desk Reception front office executive receptionist front office,nan,Pune,Executive Assistant ,Medical,Receptionist,10.0,20.0,15,1,5
" Electrical Engineer, Services Engineer, Project Engineer","1,00,000-2,00,000pa.",0 - 1 yrs, electrical engineering site engineering diploma project engineering Service Engineer,Site Engineering,Mumbai,Site Engineering ,Fresher,Electrical Engineer-Commercial,10.0,20.0,15,0,1
